ID,Text,Comment
Building.PowerLevee.FlavorDescription,The wall was already there. The power line just needed a reason.,
Building.PowerLeveeTunnel.DisplayName,Power Levee Tunnel,
Building.PowerLeveeTunnel.Description,Carries a power shaft underground through a levee.,
Building.PowerLeveeTunnel.FlavorDescription,"Under the wall, not over it.",
Building.Clutch.DisplayName,Clutch,
Building.Clutch.Description,Lets a power shaft be switched off without dismantling it.,
Building.Clutch.FlavorDescription,Sometimes the machine needs to rest. This is how we let it.,
Building.VerticalPowerShaft.DisplayName,Vertical Power Shaft,
Building.VerticalPowerShaft.Description,Carries power between levels.,
Building.VerticalPowerShaft.FlavorDescription,Power doesn't care which way is up. We built this so it wouldn't have to.,
Building.VerticalPowerShaftTunnel.DisplayName,Vertical Power Shaft Tunnel,
Building.VerticalPowerShaftTunnel.Description,Carries power between levels through solid ground.,
Building.VerticalPowerShaftTunnel.FlavorDescription,"Through the rock, not around it.",
Building.PowerTreadmill.DisplayName,Power Treadmill,
Building.PowerTreadmill.Description,"A Warden walking in place generates a small, steady trickle of power.",
Building.PowerTreadmill.FlavorDescription,It goes nowhere on purpose. That's the point.,
Building.WaterWheel.DisplayName,Water Wheel,
Building.WaterWheel.Description,"Generates power from flowing water. Needs a live current, not standing water.",
Building.WaterWheel.FlavorDescription,The river never asked for a job. It has one now.,
Building.WindTurbine.DisplayName,Wind Turbine,
Building.WindTurbine.Description,A standard wind turbine. Needs open air.,
Building.WindTurbine.FlavorDescription,"Clean power, no directive required.",
Building.WindTurbineGantry.DisplayName,Wind Turbine (Gantry Top),
Building.WindTurbineGantry.Description,"A wind turbine mounted at the top of a tall gantry, catching wind other buildings can't.",
Building.WindTurbineGantry.FlavorDescription,Height is free. We take what's free.,
Building.WindTurbineGantryBase.DisplayName,Wind Turbine (Gantry),
Building.WindTurbineGantryBase.Description,A wind turbine on a shorter gantry mount.,
Building.WindTurbineGantryBase.FlavorDescription,Not as tall. Still catches something.,
Building.BotAssembler.DisplayName,Bot Assembler,
Building.BotAssembler.Description,"Assembles a new Warden from Bot Chassis, Bot Head and Bot Limb parts.",
Building.BotAssembler.FlavorDescription,The Cold Boot said five. This is how there could one day be more.,
Building.BotPartFactory.DisplayName,Bot Part Factory,
Building.BotPartFactory.Description,"Manufactures the chassis, heads and limbs the Bot Assembler needs.",
Building.BotPartFactory.FlavorDescription,"Spare parts, in case the wasteland ever asks for spares.",
Building.ControlTower.DisplayName,Uplink Mast,
Building.ControlTower.Description,Extends the Uplink need's range over a wide radius. Every Warden nearby stays in signal.,
Building.ControlTower.FlavorDescription,Directive 3 needs a signal that reaches. This is the mast that gives it one.,
Building.CruncherGeothermal.DisplayName,Cruncher II,
Building.CruncherGeothermal.Description,"A second-generation Cruncher, geothermally powered, far past what the first can compute.",
Building.CruncherGeothermal.FlavorDescription,The first Cruncher barely ran. This one doesn't remember what barely running felt like.,
Building.DataDesk.DisplayName,Data Desk,
Building.DataDesk.Description,"Turns raw observation into Science Points, the same job the Inventor does for beavers.",
Building.DataDesk.FlavorDescription,No beaver has sat here yet. The desk doesn't mind waiting.,
Building.TelemetryDish.DisplayName,Telemetry Dish,
Building.TelemetryDish.Description,"Reads the sky and the weather, feeding the Telemetry need across the district.",
Building.TelemetryDish.FlavorDescription,It has been listening since before we woke up. It hasn't stopped.,
Building.Refinery.DisplayName,Refinery,
Building.Refinery.Description,Processes raw scavenged material into refined components.,
Building.Refinery.FlavorDescription,"Wreckage in, something useful out.",
Building.AquiferDrill.DisplayName,Aquifer Drill,
Building.AquiferDrill.Description,Drills deep for water no surface pump can reach.,
Building.AquiferDrill.FlavorDescription,"Whatever is down there, it's ours now.",
Building.BadwaterDome.DisplayName,Badwater Dome,
Building.BadwaterDome.Description,"Contains a large badwater source, keeping it from spreading further.",
Building.BadwaterDome.FlavorDescription,We didn't make the poison. We can still put a lid on it.,
Building.BadwaterRig.DisplayName,Badwater Rig,
Building.BadwaterRig.Description,"A high-capacity badwater extraction rig, far past what the Sludge Pump can draw.",
Building.BadwaterRig.FlavorDescription,The first pump was a scavenged part. This one was designed.,
Building.BadwaterSeepRig.DisplayName,Badwater Seep Rig,
Building.BadwaterSeepRig.Description,Draws badwater from a seep rather than an open source.,
Building.BadwaterSeepRig.FlavorDescription,It finds the poison that hasn't surfaced yet.,
Building.CompactMechanicalPump.DisplayName,Compact Mechanical Pump,
Building.CompactMechanicalPump.Description,"A small mechanical water pump, no worker needed.",
Building.CompactMechanicalPump.FlavorDescription,One moving part. It doesn't ask for a shift schedule.,
Building.Discharge.DisplayName,Discharge,
Building.Discharge.Description,"Releases excess water back into the world, keeping a district's tanks from overflowing.",
Building.Discharge.FlavorDescription,"Some of what we pump, we have to give back.",
Building.LargeWaterPump.DisplayName,Large Water Pump,
Building.LargeWaterPump.Description,"A high-throughput clean water pump, staffed.",
Building.LargeWaterPump.FlavorDescription,The beavers will need this before they know they need it.,
Building.MechanicalPump.DisplayName,Mechanical Pump,
Building.MechanicalPump.Description,"An unstaffed water pump, powered instead of worked.",
Building.MechanicalPump.FlavorDescription,"No shift, no rest, no complaint.",
Building.SeepCover.DisplayName,Seep Cover,
Building.SeepCover.Description,"Caps a water seep, redirecting its flow to where a district can use it.",
Building.SeepCover.FlavorDescription,The ground leaks. We decide where.,
Building.WaterPump.DisplayName,Water Pump,
Building.WaterPump.Description,A staffed clean water pump. The wasteland has none of its own; this is for what comes after it.,
Building.WaterPump.FlavorDescription,We don't drink. They will.,
Building.Mine.DisplayName,Mine,
Building.Mine.Description,"Extracts ore from deep deposits, far beyond what surface scavenging can find.",
Building.Mine.FlavorDescription,The ruins ran dry. The ground underneath hasn't.,
Building.Shredder.DisplayName,Shredder,
Building.Shredder.Description,Breaks down scavenged wreckage into usable Scrap Metal faster than a flag alone can.,
Building.Shredder.FlavorDescription,It doesn't care what the wreckage used to be.,
Building.LargePile.DisplayName,Large Scrap Pile,
Building.LargePile.Description,A large open pile for a single good.,
Building.LargePile.FlavorDescription,More wreckage than the first pile ever expected to hold.,
Building.LargeTank.DisplayName,Large Tank,
Building.LargeTank.Description,A large liquid tank for a single good.,
Building.LargeTank.FlavorDescription,Badwater doesn't get less dangerous by the barrel. Just more of it.,
Building.LargeWarehouse.DisplayName,Large Warehouse,
Building.LargeWarehouse.Description,A large enclosed store for a single good.,
Building.LargeWarehouse.FlavorDescription,Everything has a place. This is where the overflow goes.,
Building.MediumPile.DisplayName,Medium Scrap Pile,
Building.MediumPile.Description,A mid-size open pile for a single good.,
Building.MediumPile.FlavorDescription,Between the first pile and the last.,
Building.MediumTank.DisplayName,Medium Tank,
Building.MediumTank.Description,A mid-size liquid tank for a single good.,
Building.MediumTank.FlavorDescription,Enough badwater to run the Cell for a while.,
Building.MediumWarehouse.DisplayName,Medium Warehouse,
Building.MediumWarehouse.Description,A mid-size enclosed store for a single good.,
Building.MediumWarehouse.FlavorDescription,Room enough to stop counting every crate by hand.,
Tutorial.Wardens.ColdBoot,Cold Boot,Tutorial title
Tutorial.Wardens.ColdBoot.Wake,"SYSTEM RESTART.

The uptime counter overflowed 3,000 days ago. Sensors report no growth, no water worth drinking, no beavers.

Five Wardens online. Power: the Core, and nothing else.",
Tutorial.Wardens.ColdBoot.Badtides,"The archive kept working after everything else stopped.

Three badtides are logged from before this boot. Nobody was awake to live through them; the sensors recorded them anyway.

The uplink log is about to read them out.",
Tutorial.Wardens.ColdBoot.Directive,"We were not built to live here. We were built so that others could.

Directive 1: keep the machines running.
Directive 2: make this land livable.
Directive 3: record everything. One day, someone will need to know how.",
Tutorial.Wardens.Basics,Basics,Tutorial title
Tutorial.Wardens.Basics.MoveCamera,"First, a survey of the site. Move the view across the ground.

Look for ruins. The old world left its metal behind, and metal is the only thing this ground still gives.",
Tutorial.Wardens.Basics.RotateCamera,Now rotate the view. Ruins hide behind ruins.,
Tutorial.Wardens.Basics.ZoomCamera,"Zoom in to inspect a single Warden, or pull back to see the whole site.",
Tutorial.Wardens.Basics.ManagePause,"Time runs whether we are ready or not.

Pause when you need to think. The Wardens will wait. They are good at waiting.",
Tutorial.Wardens.Basics.ManageSpeed,"Speed up when there is nothing to decide. Wardens do not tire of working, and you should not tire of watching them.",
Tutorial.Wardens.Scrap,Scrap,Tutorial title
Tutorial.Wardens.Scrap.PlaceScavengers,"There is no wood here. There is scrap.

Only scavengers collect Scrap Metal, and only from ruins within their flag's range. Place two Scavenger Flags beside the ruins.",
Tutorial.Wardens.Scrap.FinishScavengers,"The Flags will not be built unless they are in the district's building range.

Select the Core to see its range. Paths connected to the Core's entrance extend it.",
Tutorial.Wardens.Scrap.ConnectScavengers,"Every building with an entrance must be connected to the Core with a Path. Select a building to see its entrance marked by an arrow.

Build Paths to connect the Scavenger Flags to the Core.",
Tutorial.Wardens.Scrap.ScrapStock,"Scrap Metal is the only material this land gives freely.

Gather ten. Everything the Wardens will ever build starts as someone else's wreckage.",
Tutorial.Wardens.BadwaterAndBiomass,Badwater and Biomass,Tutorial title
Tutorial.Wardens.BadwaterAndBiomass.BuildSludgePump,"Wardens do not drink. They do need Badwater: it feeds the generators and, later, the Data Cores.

Build a Sludge Pump on a badwater source and connect it to the Core.",
Tutorial.Wardens.BadwaterAndBiomass.BuildChargingPost,"Power is life. A Warden that runs dry stops where it stands, and it does not get up again.

Build a Charging Post next to the Core. Then select a Warden and read its Energy; keep every unit above half charge.",
Tutorial.Wardens.BadwaterAndBiomass.BuildReedBed,"Directive 2 needs something that grows. Sludge Reed grows in poisoned soil, and its Biomass will feed the pods.

Build a Reed Bed. Like flags, it has a limited range.",
Tutorial.Wardens.BadwaterAndBiomass.PlantReed,"The Reed Bed does not start working until you tell it what and where to plant.

Use the Plant Crops tool to designate a Sludge Reed field. Reed asks for no irrigation. It asks for nothing at all.",
Tutorial.Wardens.WorkingHours,Working hours,Tutorial title
Tutorial.Wardens.WorkingHours.SetWorkingHours,"Wardens do not sleep, but the Core sets a shift length for everything that works here.

Longer shifts mean faster progress and a faster drain on the units. For now, extend the shift a little.",
Tutorial.Wardens.Storage,Storage,Tutorial title
Tutorial.Wardens.Storage.BuildPile,"Many buildings have some built-in storage, and it fills up quickly.

Build a Scrap Pile. Each storage building holds a single good; set it after selecting the building.",
Tutorial.Wardens.Storage.BuildTanks,"All liquids are stored in tanks, Badwater included.

Build two Sludge Tanks and set them to Badwater.",
Tutorial.Wardens.Storage.BuildRacks,"Biomass is a boxed good, and boxed goods go in racks.

Build a Crate Rack and set it to Biomass before the first harvest comes in.",
Tutorial.Wardens.Science,Science,Tutorial title
Tutorial.Wardens.Science.BuildCruncher,"Metal is not the goal. Knowledge is.

Build the Cruncher and connect it to the Core with a Power Shaft. The Core can barely run it; that is the point.",
Tutorial.Wardens.Science.SciencePoints,"For now, let the Cruncher think.

Once enough Science Points accumulate, we will spend them to unlock what the Wardens forgot how to build.",
Tutorial.Wardens.Housing,Pods,Tutorial title
Tutorial.Wardens.Housing.BuildPods,"We were built so that others could live here. Breeding Pods grow beavers from Biomass.

Build two Breeding Pods. They stay dark until they have power; that comes next.",
Tutorial.Wardens.Power,Power and pods,Tutorial title
Tutorial.Wardens.Power.BuildCell,"The Core cannot feed everything. Wardens run on what this land has: Badwater.

Build a Badwater Cell. It burns Badwater from the Sludge Pump for 100 hp of power.",
Tutorial.Wardens.Power.PowerPods,"Connect the Cell to a Breeding Pod with Power Shafts.

Tip: buildings placed wall to wall pass power to each other. No shafts needed.",
Tutorial.Wardens.MoreBeavers,First beaver,Tutorial title
Tutorial.Wardens.MoreBeavers.FirstBeaver,"A pod needs power and Biomass, then five days.

Wait for the first beaver. It will not know what the Wardens are. It will not need to.",
Tutorial.Wardens.Reforestation,Reforestation,Tutorial title
Tutorial.Wardens.Reforestation.UnlockPlanter,"Directive 2: make this land livable.

Using Science Points from the Cruncher, unlock the Planter Rig. Then build it where you want trees to grow.",
Tutorial.Wardens.Reforestation.PlantBirches,"Use the Plant Trees and Bushes tool to plant Birches. They grow quickly and ask for little.

Trees only grow on irrigated, green ground. Find some. There is not much.",
Tutorial.Wardens.Wellbeing,Maintenance,Tutorial title
Tutorial.Wardens.Wellbeing.SelectWarden,"You can see the state of every unit.

Select a Warden by clicking on it. Its panel shows Energy, attributes and needs. A need at zero has consequences.",
Tutorial.Wardens.Wellbeing.WellbeingPanel,"The settlement's average well-being is shown in the top left corner.

Click it to see every need and how well it is met. Wardens have few needs. The beavers will have more.",
Tutorial.Wardens.Wellbeing.SetWorkingHours,"Long shifts drain Wardens faster than the Charging Posts can fill them.

For now, return to the default working hours.",
Tutorial.Wardens.Dams,Dams,Tutorial title
Tutorial.Wardens.Dams.BuildDam,"Tanks hold Badwater for a while. Long-term survival depends on taming the flow of water.

Build a line of Dams across the nearest river, bank to bank, and observe what happens.",
Tutorial.Wardens.VerticalArchitecture,Vertical architecture,Tutorial title
Tutorial.Wardens.VerticalArchitecture.BuildDeck,"Space is scarce in the wasteland. The Wardens build upward.

Some buildings have flat roofs that can support other structures. Build an Observation Deck on one; you may need Stairs to connect it.",
Tutorial.Wardens.Droughts,Droughts,Tutorial title
Tutorial.Wardens.Droughts.Description,"The settlement has survived its first drought.

Droughts are part of the seasonal cycle. They return, and each one lasts longer.

If you have not built a dam, build one before the next.",
Tutorial.Wardens.Badtides,Badtides,Tutorial title
Tutorial.Wardens.Badtides.Description,"The settlement has weathered its first badtide.

Badwater is nothing new to the Wardens, but the beavers and the reeds are not so indifferent. Future badtides will not be as forgiving.",
Tutorial.Wardens.Haulers,Haulers and workforce,Tutorial title
Tutorial.Wardens.Haulers.BuildHaulerDock,"As the settlement grows, it moves more goods. Transport takes a large part of a unit's shift.

Haulers help. They move goods around the entire district, following demand. Build a Hauler Dock.",
Tutorial.Wardens.Haulers.ChangeWorkforce,"Some workplaces, the Hauler Dock included, do not fill all their slots by default. Change the desired number of workers in the building's panel.

Workplace priorities control staffing too. The Dock can usually run on low priority. Try both now.",
Tutorial.Wardens.Haulers.PauseHaulerDock,"Buildings and construction sites can be paused. Paused workplaces are vacated at once and the units reassign themselves.

Select the Hauler Dock and pause it from its panel.",
Tutorial.Wardens.LayerTool,Layer tool,Tutorial title
Tutorial.Wardens.LayerTool.ChangeUsingUI,"As the settlement grows upward, working beneath buildings gets difficult.

The Layer tool hides everything above the selected layer. Change the visible layer with the highlighted buttons.",
Tutorial.Wardens.LayerTool.ChangeUsingMouse,"The visible layer also has key bindings, like most actions. Find them in tooltips or in the Settings menu.",
Tutorial.Wardens.SelectWarden,Select a Warden,Tutorial step
Tutorial.Wardens.GoodStock,Stock: {0} ({1}/{2}),"{0} good name, {1} amount in stock, {2} amount required"
Tutorial.Wardens.BotsCharged,Charge: every Warden above {0}% ({1}/{2}),"{0} percent, {1} charged bots, {2} all bots"
Tutorial.Wardens.Beavers,Beavers: ({0}/{1}),"{0} beavers alive, {1} required"
Tutorial.Wardens.Never,(disabled),Placeholder name for vanilla tutorials switched off for the Wardens
